Clé;Date mutation;Nature mutation;Valeur fonciere
3228;20/02/2020;Vente;375000
3230;28/02/2020;Vente;130000
3235;17/02/2020;Vente;232850
3237;27/02/2020;Vente;150000
3238;11/03/2020;Vente;425000
3239;10/03/2020;Vente;133080
3240;03/03/2020;Vente;238000
3241;04/03/2020;Vente;120400
3242;04/03/2020;Vente;93000
3247;28/02/2020;Vente;290000
3248;28/02/2020;Vente;129000
3249;28/02/2020;Vente;263400
3250;03/03/2020;Vente;390000
3252;12/03/2020;Vente;160000
3255;03/03/2020;Vente;119000
3257;05/03/2020;Vente;210000
3258;09/03/2020;Vente;225300
3265;16/03/2020;Vente;89000
